"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28622","test","chromium","2026-08-27","passed","2026-08-27","","UI\01 CompraCompleta.spec.ts","",""
"","10389","validar por API antes de decidir qué probar en la UI","chromium","2026-08-27","passed","2026-08-27","Combinar API + UI","API\07-api-testing.spec.ts","",""
"","221","eliminarPost elimina un recurso","chromium","2026-08-27","passed","2026-08-27","API testing: ejemplo básico con  helper","API\08-apitesting-ejemplo.spec.ts","",""
"","6937","test","chromium","2026-08-27","passed","2026-08-27","","UI\00 login.spec.ts","",""
"","481","GET a una API pública","chromium","2026-08-27","passed","2026-08-27","API testing: fundamentos (sin helper)","API\07-api-testing.spec.ts","",""
"","14851","test","chromium","2026-08-27","passed","2026-08-27","","UI\ejercicio_01.spec.ts","",""
"","27379","test","chromium","2026-08-27","passed","2026-08-27","","UI\ejercicio_04.spec.ts","",""
"","241","DELETE elimina un recurso","chromium","2026-08-27","passed","2026-08-27","API testing: fundamentos (sin helper)","API\07-api-testing.spec.ts","",""
"","11861","test","chromium","2026-08-27","passed","2026-08-27","","UI\ejercicio_05.spec.ts","",""
"","20694","Compra completa con POM","chromium","2026-08-27","passed","2026-08-27","","UI\POM_prueba.spec.ts","",""
"","8920","Ejercicio 5 - Captura de bug con problem_user","chromium","2026-08-27","passed","2026-08-27","","UI\POM_05.spec.ts","",""
"","6821","Ejercicio 2 - Usuario bloqueado","chromium","2026-08-27","passed","2026-08-27","","UI\POM_02.spec.ts","",""
"","243","crearPost devuelve el post creado con un id asignado","chromium","2026-08-27","passed","2026-08-27","API testing: refinado con ApiClient","API\07-api-testing.spec.ts","",""
"","258","POST enviando un body JSON","chromium","2026-08-27","passed","2026-08-27","API testing: fundamentos (sin helper)","API\07-api-testing.spec.ts","",""
"","216","obtenerUsuario devuelve los datos esperados","chromium","2026-08-27","passed","2026-08-27","API testing: ejemplo básico con ApiClient","API\08-apitesting-ejemplo.spec.ts","",""
"","11598","Ejercicio 1 - Agregar y eliminar producto del carrito","chromium","2026-08-27","passed","2026-08-27","","UI\POM_01.spec.ts","",""
"","2191","correr la colección de Postman","chromium","2026-08-27","passed","2026-08-27","","Newman\Test.spec.ts","",""
"","328","parametrizado: obtener varios usuarios y validar su forma","chromium","2026-08-27","passed","2026-08-27","API testing: refinado con ApiClient","API\07-api-testing.spec.ts","",""
"","19621","Ejercicio 4 - Cancelar compra desde el resumen","chromium","2026-08-27","passed","2026-08-27","","UI\POM_04.spec.ts","",""
"","124","obtenerUsuario devuelve los datos esperados","chromium","2026-08-27","passed","2026-08-27","API testing: refinado con ApiClient","API\07-api-testing.spec.ts","",""
"","8444","Ejercicio 3 - Ordenar productos de mayor a menor","chromium","2026-08-27","passed","2026-08-27","","UI\POM_03.spec.ts","",""
"","10070","test","chromium","2026-08-27","passed","2026-08-27","","UI\ejercicio_02.spec.ts","",""
"","357","GET a un recurso que no existe devuelve 404","chromium","2026-08-27","passed","2026-08-27","API testing: fundamentos (sin helper)","API\07-api-testing.spec.ts","",""
"","8417","correr Newman y hacer login","chromium","2026-08-27","passed","2026-08-27","","Newman\test2.spec.ts","",""
"","443","crearPost devuelve el post creado con un id asignado","chromium","2026-08-27","passed","2026-08-27","API testing: ejemplo básico con ApiClient","API\08-apitesting-ejemplo.spec.ts","",""
"","23543","usar un nombre real obtenido por API para completar el checkout de SauceDemo","chromium","2026-08-27","passed","2026-08-27","Combinar API + UI","API\07-api-testing.spec.ts","",""
"","187","GET a una API pública","chromium","2026-08-27","passed","2026-08-27","API testing: ejemplo básico","API\08-apitesting-ejemplo.spec.ts","",""
"","13637","test","chromium","2026-08-27","passed","2026-08-27","","UI\ejercicio_03.spec.ts","",""
